Age,Fare,Sex,Embarked,Pclass,Survived
41.0,83.94,male,n,1,0
33.3,54.0,female,C,3,0
42.8,47.76,female,S,2,0
53.3,48.49,male,Q,3,0
32.2,17.82,male,S,1,0
32.2,13.9,male,S,3,1
,66.29,female,S,3,0
44.2,66.45,female,S,3,0
,80.72,female,S,3,1
41.5,97.78,female,S,1,1
29.4,28.64,male,C,3,0
29.4,27.85,male,S,1,0
37.9,64.04,male,S,1,0
12.0,41.99,male,S,2,1
14.3,48.42,female,n,3,1
28.3,63.54,female,S,3,0
22.8,88.29,male,S,3,1
38.8,16.5,male,S,2,1
24.1,18.84,female,Q,2,0
18.1,3.95,male,Q,3,1
52.6,34.54,female,S,2,0
32.3,1.46,male,S,3,0
35.8,25.06,male,S,1,0
17.9,31.29,male,S,3,0
28.5,13.51,male,S,3,0
36.3,35.75,male,S,2,1
21.2,1.24,male,C,1,0
39.5,1.52,male,C,3,0
27.8,579.0,female,S,3,0
31.5,17.86,female,S,2,1
27.8,5.44,female,S,3,0
57.2,29.55,female,C,1,0
34.8,58.79,female,S,2,0
22.3,9.72,male,S,3,0
44.9,39.01,male,C,2,1
20.3,3.57,female,S,3,1
37.5,2.12,male,C,2,0
11.5,30.32,female,S,2,1
19.1,31.12,female,S,3,1
37.4,40.58,male,S,2,1
43.9,51.8,male,C,3,0
37.1,148.94,male,Q,2,0
,29.05,female,C,2,0
31.4,15.6,male,S,1,1
17.3,63.43,female,C,3,0
26.4,12.63,female,S,2,0
29.5,23.12,female,S,3,0
47.7,3.27,male,Q,3,1
39.1,1.03,male,S,3,0
13.8,131.5,female,S,1,1
38.9,72.31,male,S,3,1
30.4,47.63,male,S,3,0
26.9,487.0,male,S,3,1
42.3,7.61,female,S,3,0
47.4,6.8,female,S,3,1
46.2,11.52,male,Q,3,0
24.9,31.87,female,C,1,1
31.3,,male,S,1,1
39.0,43.18,male,S,3,1
46.7,,male,S,3,1
29.2,123.92,male,S,3,0
32.8,53.56,female,S,3,1
21.7,32.33,female,S,1,1
20.6,37.84,female,n,1,0
44.8,21.76,male,S,3,0
51.3,11.39,male,S,2,1
34.1,17.6,male,S,2,1
47.0,56.73,female,Q,3,1
39.3,,male,C,1,0
27.3,4.94,female,S,3,1
39.3,1.88,female,Q,2,0
53.5,1.66,female,S,3,1
34.6,77.37,female,Q,2,0
53.8,48.65,female,C,3,1
